Count of Active,Country/Region
7890,US
5237,Mainland China
3276,Russia
2143,Japan
1792,Canada
1683,Mexico
1494,Colombia
1454,Brazil
1368,UK
1302,France
1280,Italy
1218,Spain
1188,Australia
1176,India
1175,Peru
1116,Ukraine
1059,Germany
928,Chile
840,Sweden
570,Netherlands
365,Denmark
308,Pakistan
169,Hong Kong
169,Macau
169,South Korea
169,Taiwan
169,Thailand
168,Singapore
168,Vietnam
167,Malaysia
166,Nepal
164,Cambodia
164,Sri Lanka
162,Finland
162,Philippines
162,United Arab Emirates
156,Belgium
146,Egypt
141,Iran
139,Israel
139,Lebanon
137,Iraq
136,Afghanistan
136,Bahrain
136,Kuwait
136,Oman
135,Algeria
135,Austria
135,Croatia
135,Switzerland
134,Georgia
134,Greece
134,North Macedonia
134,Norway
134,Romania
133,Estonia
133,San Marino
132,Belarus
132,Iceland
132,Lithuania
132,New Zealand
132,Nigeria
131,Ireland
131,Luxembourg
131,Monaco
131,Qatar
130,Armenia
130,Azerbaijan
130,Czech Republic
130,Dominican Republic
130,Ecuador
129,Andorra
129,Indonesia
129,Latvia
129,Morocco
129,Portugal
129,Saudi Arabia
129,Senegal
128,Argentina
128,Jordan
127,Hungary
127,Liechtenstein
127,Poland
127,Tunisia
126,Bosnia and Herzegovina
126,Slovenia
126,South Africa
125,Bhutan
125,Cameroon
125,Costa Rica
125,Serbia
125,Slovakia
125,Togo
124,Malta
123,Bangladesh
123,Bulgaria
123,Maldives
123,Moldova
123,Paraguay
122,Albania
122,Brunei
122,Cyprus
121,Burkina Faso
121,Holy See
121,Ivory Coast
121,Mongolia
121,Panama
120,Bolivia
120,Congo (Kinshasa)
120,Honduras
120,Jamaica
120,Turkey
119,Cuba
119,Guyana
118,Antigua and Barbuda
118,Ethiopia
118,Guinea
118,Kazakhstan
118,Kenya
118,Sudan
117,Eswatini
117,Gabon
117,Ghana
117,Guatemala
117,Mauritania
117,Namibia
117,Rwanda
117,Saint Lucia
117,Saint Vincent and the Grenadines
117,Seychelles
117,Suriname
117,Trinidad and Tobago
117,Uruguay
117,Venezuela
116,Central African Republic
116,Congo (Brazzaville)
116,Equatorial Guinea
116,Uzbekistan
115,Benin
115,Liberia
115,Somalia
115,Tanzania
114,Barbados
114,Montenegro
113,Djibouti
113,Kyrgyzstan
113,Mauritius
113,Zambia
112,Chad
112,El Salvador
112,Fiji
112,Kosovo
112,Nicaragua
111,Angola
111,Cabo Verde
111,Haiti
111,Madagascar
111,Niger
111,Papua New Guinea
111,Zimbabwe
110,Eritrea
110,Uganda
109,Bahamas
109,Dominica
109,Gambia
109,Grenada
109,Mozambique
109,Syria
109,Timor-Leste
108,Belize
107,Laos
107,Libya
106,Diamond Princess
106,Guinea-Bissau
106,Mali
106,Saint Kitts and Nevis
105,West Bank and Gaza
104,Burma
103,MS Zaandam
101,Botswana
100,Burundi
100,Sierra Leone
98,Malawi
95,South Sudan
95,Western Sahara
94,Sao Tome and Principe
90,Yemen
70,Comoros
70,Tajikistan
57,Lesotho
46,Others
15,Martinique
14,French Guiana
11,Reunion
9,Guadeloupe
8,Guernsey
8,Jersey
7,Aruba
7,Faroe Islands
7,Gibraltar
7,occupied Palestinian territory
7,Saint Barthelemy
6,Greenland
6,Guam
6,Mayotte
6,Puerto Rico
6,Republic of the Congo
6,The Bahamas
5,Palestine
5,The Gambia
4,"Gambia, The"
4,Vatican City
3,"Bahamas, The"
3,Cayman Islands
2,Curacao
1, Azerbaijan
1,"('St. Martin',)"
1,Cape Verde
1,Channel Islands
1,East Timor
1,North Ireland
1,Republic of Ireland
1,St. Martin
